,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,user
2,0.626,0.389,5,-10.179,0,0.0413,0.174,0.683,0.102,0.372,182.092,audio_features,3y29QLWHxB1G7CfuFyZ8qe,spotify:track:3y29QLWHxB1G7CfuFyZ8qe,https://api.spotify.com/v1/tracks/3y29QLWHxB1G7CfuFyZ8qe,https://api.spotify.com/v1/audio-analysis/3y29QLWHxB1G7CfuFyZ8qe,448583,4,isabellamonique
3,0.622,0.517,8,-7.607,0,0.0743,0.146,0.00423,0.139,0.525,80.003,audio_features,5mNqz2m3qWWKKiQcvYrKP2,spotify:track:5mNqz2m3qWWKKiQcvYrKP2,https://api.spotify.com/v1/tracks/5mNqz2m3qWWKKiQcvYrKP2,https://api.spotify.com/v1/audio-analysis/5mNqz2m3qWWKKiQcvYrKP2,170013,4,isabellamonique
4,0.758,0.606,0,-6.444,1,0.0325,0.282,0.0,0.144,0.361,107.95,audio_features,2SiqlgLMfKQbczSMRp8drY,spotify:track:2SiqlgLMfKQbczSMRp8drY,https://api.spotify.com/v1/tracks/2SiqlgLMfKQbczSMRp8drY,https://api.spotify.com/v1/audio-analysis/2SiqlgLMfKQbczSMRp8drY,239947,4,isabellamonique
5,0.824,0.588,6,-6.4,0,0.0924,0.692,0.000104,0.149,0.513,98.027,audio_features,5ZULALImTm80tzUbYQYM9d,spotify:track:5ZULALImTm80tzUbYQYM9d,https://api.spotify.com/v1/tracks/5ZULALImTm80tzUbYQYM9d,https://api.spotify.com/v1/audio-analysis/5ZULALImTm80tzUbYQYM9d,209438,4,isabellamonique
6,0.498,0.54,8,-10.441,1,0.0302,0.000499,0.436,0.132,0.0944,100.024,audio_features,4Ol2e0E0S0WJsxLthIggDX,spotify:track:4Ol2e0E0S0WJsxLthIggDX,https://api.spotify.com/v1/tracks/4Ol2e0E0S0WJsxLthIggDX,https://api.spotify.com/v1/audio-analysis/4Ol2e0E0S0WJsxLthIggDX,240120,4,isabellamonique
7,0.784,0.666,0,-8.564,1,0.0836,0.0987,0.865,0.129,0.961,125.987,audio_features,61R34KLwTrNMs2KCi7rIFC,spotify:track:61R34KLwTrNMs2KCi7rIFC,https://api.spotify.com/v1/tracks/61R34KLwTrNMs2KCi7rIFC,https://api.spotify.com/v1/audio-analysis/61R34KLwTrNMs2KCi7rIFC,259640,3,isabellamonique
8,0.743,0.4,2,-9.568,1,0.0345,0.042,0.254,0.134,0.506,116.288,audio_features,4qFHQS1x5kUjw9ohXzQAbj,spotify:track:4qFHQS1x5kUjw9ohXzQAbj,https://api.spotify.com/v1/tracks/4qFHQS1x5kUjw9ohXzQAbj,https://api.spotify.com/v1/audio-analysis/4qFHQS1x5kUjw9ohXzQAbj,353487,4,isabellamonique
9,0.705,0.325,9,-12.685,0,0.0441,0.0506,0.83,0.104,0.54,190.024,audio_features,2uZYoCCXqeyGrPpPAdwJst,spotify:track:2uZYoCCXqeyGrPpPAdwJst,https://api.spotify.com/v1/tracks/2uZYoCCXqeyGrPpPAdwJst,https://api.spotify.com/v1/audio-analysis/2uZYoCCXqeyGrPpPAdwJst,265893,4,isabellamonique
10,0.714,0.638,10,-9.541,0,0.0412,0.061,0.897,0.0963,0.33,118.318,audio_features,0NFEqhOpzS0oc8AOJQHYwR,spotify:track:0NFEqhOpzS0oc8AOJQHYwR,https://api.spotify.com/v1/tracks/0NFEqhOpzS0oc8AOJQHYwR,https://api.spotify.com/v1/audio-analysis/0NFEqhOpzS0oc8AOJQHYwR,359991,4,isabellamonique
11,0.673,0.437,9,-11.746,1,0.0325,0.713,0.152,0.117,0.551,104.996,audio_features,1mbuSss0OVqfS00y7yCNCZ,spotify:track:1mbuSss0OVqfS00y7yCNCZ,https://api.spotify.com/v1/tracks/1mbuSss0OVqfS00y7yCNCZ,https://api.spotify.com/v1/audio-analysis/1mbuSss0OVqfS00y7yCNCZ,247455,4,isabellamonique
12,0.851,0.773,7,-7.377,1,0.106,0.00574,0.000171,0.0281,0.954,144.001,audio_features,3YmbUscwS5089fesbXf2lq,spotify:track:3YmbUscwS5089fesbXf2lq,https://api.spotify.com/v1/tracks/3YmbUscwS5089fesbXf2lq,https://api.spotify.com/v1/audio-analysis/3YmbUscwS5089fesbXf2lq,91943,4,isabellamonique
13,0.679,0.834,7,-6.947,0,0.0384,0.021,0.108,0.0224,0.453,108.0,audio_features,1Rbs9bGBcx5AkcGYNqXhoO,spotify:track:1Rbs9bGBcx5AkcGYNqXhoO,https://api.spotify.com/v1/tracks/1Rbs9bGBcx5AkcGYNqXhoO,https://api.spotify.com/v1/audio-analysis/1Rbs9bGBcx5AkcGYNqXhoO,165430,4,isabellamonique
